Date,Open,High,Low,Close,Volume
2024-03-25,440.857,443.55,439.852,442.059,27958940
2024-03-26,443.59,444.509,440.399,440.628,34350644
2024-03-27,443.73,443.829,439.246,442.129,41611937
2024-03-28,442.079,442.934,440.956,441.314,37064724
2024-04-01,442.268,444.812,440.329,442.248,38965577
2024-04-02,437.408,438.75,435.369,438.43,44530083
2024-04-03,436.295,441.304,436.285,439.416,40193835
2024-04-04,443.62,444.236,432.468,432.697,57617554
2024-04-05,434.127,440.478,433.313,437.794,55079113
2024-04-08,438.73,439.812,436.532,437.924,28316904
2024-04-09,440.271,440.548,434.783,439.545,39763037
2024-04-10,434.347,436.572,433.631,435.708,61877958
2024-04-11,437.587,443.62,435.3,442.665,45752391
2024-04-12,438.42,439.555,434.227,435.609,53992878
2024-04-15,439.376,439.466,427.598,428.441,63841311
2024-04-16,428.284,431.125,427.091,428.481,47909904
2024-04-17,430.469,430.489,422.319,423.254,57228065
2024-04-18,423.901,425.64,420.263,420.84,46833770
2024-04-19,419.656,420.184,410.561,412.132,75578651
2024-04-22,414.775,418.622,411.427,416.276,48099758
2024-04-23,418.216,423.691,416.327,422.489,44655923
2024-04-24,425.6,427.121,421.623,423.921,48736266
2024-04-25,416.694,422.738,415.6,421.872,57742824
2024-04-26,425.023,429.923,424.327,428.381,42130754
2024-04-29,430.499,431.125,427.369,430.123,30205590
2024-04-30,428.531,429.933,421.932,422.012,43932724
2024-05-01,420.58,427.528,418.106,418.961,52570955
2024-05-02,422.718,425.213,418.076,424.307,36782375
2024-05-03,431.801,433.83,429.993,432.835,48811671
2024-05-06,434.644,437.666,433.87,437.577,30411882
2024-05-07,438.024,439.286,436.911,437.647,31185474
2024-05-08,435.013,438.8,434.893,437.388,25048837
2024-05-09,437.657,438.918,435.798,438.342,24730300
2024-05-10,439.852,441.612,437.823,439.376,27282243
2024-05-13,441.294,441.393,438.968,440.389,23134682
2024-05-14,439.962,443.755,439.772,443.222,34688977
2024-05-15,445.708,450.398,444.186,450.15,41717992
2024-05-16,449.961,451.928,449.066,449.235,34992913
2024-05-17,449.365,449.971,446.81,449.017,36022473
2024-05-20,449.235,452.814,449.042,452.148,24623758
2024-05-21,450.289,453.22,450.09,453.033,23309270
2024-05-22,453.29,454.046,450.328,452.943,25273518
2024-05-23,457.754,457.784,449.107,450.906,41149116
2024-05-24,452.525,456.442,450.813,455.169,29850735
2024-05-28,456.392,456.948,453.916,456.888,26376994
2024-05-29,452.714,455.457,452.574,453.669,29920939
2024-05-30,452.734,452.873,447.476,448.808,30901778
2024-05-31,449.037,449.732,440.364,447.973,56283092
2024-06-03,451.809,452.814,445.18,450.378,33199075
2024-06-04,450.12,452.809,448.392,451.611,23912650
2024-06-05,455.198,460.795,451.648,460.715,34024027
2024-06-06,461.401,461.719,459.383,460.556,22101033
2024-06-07,460.188,462.912,459.036,460.149,25987534
2024-06-10,459.016,462.365,458.727,462.007,20846364
2024-06-11,460.725,465.297,459.224,465.178,22188022
2024-06-12,469.124,473.606,468.429,471.27,34743572
2024-06-13,474.819,475.484,471.539,473.825,26017007
2024-06-14,473.626,476.35,473.159,476.28,23515422
2024-06-17,476.549,483.904,475.237,482.115,37280900
2024-06-18,482.065,482.948,480.494,482.264,24587880
2024-06-20,483.467,483.883,476.706,478.547,34125919
2024-06-21,478.268,479.605,475.763,477.264,39673840
2024-06-24,476.031,477.774,471.691,471.83,37921386
2024-06-25,473.931,477.524,472.984,477.226,29382252
2024-06-26,476.4,478.758,475.981,478.211,22839746
2024-06-27,477.962,480.929,477.147,479.445,26340508
2024-06-28,480.242,485.01,476.31,476.957,35039045
2024-07-01,477.884,480.322,474.115,479.755,25010733
2024-07-02,478.251,484.851,478.121,484.791,26844196
2024-07-03,484.035,488.963,484.035,488.833,18146429
2024-07-05,489.68,494.368,489.38,493.931,28624574
2024-07-08,494.298,495.657,493.274,495.105,22209227
2024-07-09,496.628,497.753,494.011,495.533,25817275
2024-07-10,497.464,501.258,496.15,500.7,28173512
2024-07-11,500.809,501.018,488.52,489.719,50192152
2024-07-12,490.297,497.375,489.829,492.597,37276920
2024-07-15,494.378,498.759,491.87,493.921,31292011
2024-07-16,495.384,496.2,490.934,494.109,26067769
2024-07-17,486.085,486.602,479.535,479.605,56522779
2024-07-18,483.348,483.527,474.13,477.334,49570127
2024-07-19,476.997,479.525,471.81,473.104,42232648
2024-07-22,478.998,481.178,475.56,480.152,40481923
2024-07-23,479.247,482.253,477.981,478.461,23387557
2024-07-24,471.691,472.059,460.432,461.297,59084151
2024-07-25,461.636,465.837,453.583,456.211,59524259
2024-07-26,460.571,463.836,457.704,460.889,40172666
2024-07-29,463.618,465.808,459.54,461.816,28345861
2024-07-30,463.756,464.464,452.109,455.474,41503726
2024-07-31,465.768,470.665,464.314,468.953,44753254
2024-08-01,469.64,473.413,453.93,457.594,56909650
2024-08-02,448.863,451.532,442.472,446.733,66622644
2024-08-05,422.801,440.302,421.548,433.413,87878375
2024-08-06,435.265,445.062,432.607,437.555,63449569
2024-08-07,444.483,446.982,432.418,432.816,55177127
2024-08-08,439.077,446.972,435.185,446.056,48106259
2024-08-09,444.732,450.029,443.608,448.386,33725537
2024-08-12,449.362,452.329,446.538,449.352,27920479
2024-08-13,453.771,460.77,453.633,460.502,40265408
2024-08-14,461.427,463.02,456.34,460.65,34890543
2024-08-15,466.653,472.686,466.275,472.288,38453373
2024-08-16,470.496,474.269,469.53,472.896,38556896
2024-08-19,473.034,479.148,471.243,479.108,23844832
2024-08-20,478.191,480.769,476.4,478.101,29341198
2024-08-21,478.888,482.193,477.167,480.332,25774617
2024-08-22,482.662,483.358,471.681,472.716,37909942
2024-08-23,477.087,480.571,473.144,477.844,36224299
2024-08-26,477.296,478.221,471.114,473.204,27576569
2024-08-27,471.561,475.693,469.59,474.617,27634190
2024-08-28,474.15,474.876,465.788,469.233,37541144
2024-08-29,471.153,475.782,467.262,468.546,41266917
2024-08-30,472.906,474.757,468.396,474.13,33617549
2024-09-03,471.074,471.203,457.346,459.735,45188294
2024-09-04,456.608,462.363,455.673,458.54,32651838
2024-09-05,456.907,463.268,455.881,458.968,34607912
2024-09-06,458.261,459.148,446.176,446.673,50852916
2024-09-09,451.024,453.413,447.801,452.418,33130054
2024-09-10,454.19,457.107,450.198,456.599,29814303
2024-09-11,457.844,467.26,449.252,466.515,58104110
2024-09-12,466.544,471.91,464.751,471.094,40356818
2024-09-13,470.357,474.388,470.127,473.204,29243267
2024-09-16,471.064,471.731,467.779,471.114,22687553
2024-09-17,474.15,475.453,468.853,471.362,30220247
2024-09-18,472.567,476.678,468.713,469.321,40089375
2024-09-19,480.441,484.045,478.331,481.188,53020797
2024-09-20,480.322,481.516,476.15,480.272,34733755
2024-09-23,481.455,482.642,480.109,481.545,24920107
2024-09-24,482.96,484.824,478.683,483.868,26033218
2024-09-25,483.24,486.28,483.06,484.316,26632301
2024-09-26,491.843,492.172,484.296,487.955,32119626
2024-09-27,488.982,489.121,484.057,485.244,22922071
2024-09-30,484.276,486.898,481.425,486.56,30424779
2024-10-01,486.19,486.49,475.923,479.781,42868114
2024-10-02,478.873,482.382,476.241,480.458,23817772
2024-10-03,478.255,483.045,477.507,480.099,25415890
2024-10-04,485.942,486.37,480.892,485.812,30840369
2024-10-07,483.888,485.064,479.381,480.608,25052665
2024-10-08,483.16,488.473,482.347,487.786,28359799
2024-10-09,487.486,492.201,486.44,491.623,25072557
2024-10-10,489.331,492.939,488.015,491.065,25830399
2024-10-11,489.221,492.859,488.653,491.833,20708596
2024-10-14,494.235,497.286,493.727,495.96,26141060
2024-10-15,496.289,496.957,487.168,489.331,34892509
2024-10-16,489.66,490.168,486.06,489.39,23068179
2024-10-17,494.903,494.953,489.67,489.729,27295145
2024-10-18,492.531,494.036,491.773,492.939,25413693
2024-10-21,491.723,494.694,489.789,493.887,30430742
2024-10-22,491.205,495.905,490.447,494.425,26768698
2024-10-23,492.062,492.721,483.548,486.848,39468733
2024-10-24,490.587,491.474,487.925,490.796,22093315
2024-10-25,493.607,498.732,492.899,493.787,38882496
2024-10-28,496.917,496.977,493.567,493.867,20541360
2024-10-29,494.185,499.798,492.321,498.612,28101040
2024-10-30,497.844,498.801,494.355,494.843,29848350
2024-10-31,490.856,490.906,482.253,482.352,41373311
2024-11-01,483.998,489.232,483.698,485.922,33760255
2024-11-04,485.314,487.865,482.755,484.506,23363898
2024-11-05,486.1,491.355,486.011,490.687,24429231
2024-11-06,499.01,504.842,498.054,504.015,43215965
2024-11-07,506.826,512.738,506.767,511.951,32955126
2024-11-08,511.447,513.324,510.824,512.549,22995662
2024-11-11,513.775,513.984,509.339,512.249,24242517
2024-11-12,512.18,513.067,508.252,511.323,25915504
2024-11-13,510.814,513.386,508.371,510.665,24643696
2024-11-14,510.325,511.203,506.198,507.115,28768567
2024-11-15,501.384,501.772,492.959,495.033,51620837
2024-11-18,496.588,500.586,495.193,498.472,27277093
2024-11-19,495.881,502.394,495.541,501.902,24599162
2024-11-20,501.602,501.922,495.018,501.612,29657289
2024-11-21,504.673,505.391,496.02,503.417,34633941
2024-11-22,502.858,504.962,501.224,504.224,23900624
2024-11-25,508.321,509.869,502.702,505.022,26457059
2024-11-26,506.507,508.561,505.66,507.733,26639518
2024-11-27,506.597,506.667,500.376,503.736,25034932
2024-11-29,504.364,508.761,503.746,508.162,15381578
2024-12-02,509.429,514.662,509.039,513.695,25225245
2024-12-03,512.359,515.549,511.781,515.27,18655645
2024-12-04,518.71,521.9,517.992,521.64,26167218
2024-12-05,521.69,522.418,519.806,520.195,18226047
2024-12-06,520.863,525.089,520.733,524.851,23836392
2024-12-09,523.923,524.721,519.606,520.763,20738597
2024-12-10,521.999,523.754,517.553,518.988,24425645
2024-12-11,523.375,528.967,522.966,528.28,32268460
2024-12-12,526.047,527.323,524.391,524.871,23650710
2024-12-13,528.818,531.516,525.668,528.888,28869766
2024-12-16,531.43,537.481,531.35,536.504,32079158
2024-12-17,534.7,535.816,532.476,534.142,28667806
2024-12-18,533.494,535.218,513.416,514.871,54873004
2024-12-19,519.576,520.145,512.239,512.579,46585952
2024-12-20,508.86,523.195,507.713,517.054,60717902
2024-12-23,518.777,522.471,515.362,522.092,29717032
2024-12-24,524.049,529.261,523.41,529.171,17584388
2024-12-26,527.534,530.449,525.527,528.812,19170027
2024-12-27,525.227,525.666,517.089,521.782,33889998
2024-12-30,514.743,518.587,511.068,514.843,34635581
2024-12-31,516.131,516.889,509.5,510.469,29160432
2025-01-02,513.534,515.871,504.957,509.471,36444028
2025-01-03,512.586,518.872,511.767,517.808,29102838
2025-01-06,523.24,527.134,521.253,523.759,36163561
2025-01-07,524.808,525.207,512.516,514.413,36744965
2025-01-08,514.313,516.15,509.81,514.503,30823656
2025-01-10,510.719,510.819,503.17,506.435,40592915
2025-01-13,500.454,505.267,498.956,504.807,31741455
2025-01-14,507.983,509.396,500.843,504.328,33787528
2025-01-15,512.266,517.079,510.699,515.931,35009664
2025-01-16,518.208,518.287,512.186,512.316,28271117
2025-01-17,522.072,523.293,512.345,520.963,51915214
2025-01-21,523.699,525.187,519.286,524.019,23663192
2025-01-22,528.782,533.025,528.472,530.719,33643064
2025-01-23,528.253,531.967,527.663,531.847,23131017
2025-01-24,532.227,532.995,527.364,528.842,19907883
2025-01-27,510.239,517.219,509.391,513.445,60862285
2025-01-28,514.453,522.222,511.018,521.033,33243695
2025-01-29,521.682,521.812,516.129,520.055,26688736
2025-01-30,522.93,525.312,517.439,522.271,27472193
2025-01-31,526.136,530.727,520.414,521.513,38903373
2025-02-03,512.706,520.074,510.289,517.339,40641327
2025-02-04,517.858,524.328,517.459,523.689,26085580
2025-02-05,521.043,526.226,519.845,526.066,21165574
2025-02-06,526.575,529.021,524.959,528.812,19463424
2025-02-07,529.351,531.308,521.413,522.142,29649602
2025-02-10,526.435,529.568,525.966,528.462,20883868
2025-02-11,525.177,529.131,525.047,527.204,19354308
2025-02-12,521.523,528.402,521.173,527.514,25046642
2025-02-13,529.191,535.422,528.402,535.102,28757603
2025-02-14,535.207,538.038,534.873,537.349,17889199
2025-02-18,538.927,539.196,535.242,538.567,20595683
2025-02-19,537.768,540.005,535.662,538.717,19696177
2025-02-20,537.928,538.298,531.667,536.43,26590331
2025-02-21,537.579,537.599,524.928,525.297,47163951
2025-02-24,527.094,528.282,518.757,519.176,39326928
2025-02-25,518.467,518.547,508.682,512.556,49012978
2025-02-26,514.763,518.887,510.609,513.794,34508983
2025-02-27,517.359,518.297,499.306,499.525,52526148
2025-02-28,499.386,508.023,496.19,507.414,47725079
2025-03-03,510.759,512.276,492.845,496.31,44653669
2025-03-04,493.444,502.99,487.009,494.812,67976582
2025-03-05,495.461,502.88,490.529,501.263,46392778
2025-03-06,492.955,497.838,485.476,487.473,57660156
2025-03-07,486.435,492.546,479.815,491.058,54796287
2025-03-10,482.73,483.25,467.962,472.026,76782316
2025-03-11,471.647,478.092,466.315,470.898,68863271
2025-03-12,478.447,480.344,471.088,476.21,47041100
2025-03-13,475.541,475.571,465.736,467.643,46632759
2025-03-14,473.025,479.845,472.416,478.946,43627948
2025-03-17,478.896,485.117,477.089,482.051,41806581
2025-03-18,478.696,478.896,471.707,473.834,39130509
2025-03-19,476.1,484.608,474.163,480.174,40490602
2025-03-20,476.17,483.829,475.471,478.547,36835376
2025-03-21,473.374,480.893,472.201,480.124,42297832
2025-03-24,487.74,491.51,484.4,490.66,34567186
2025-03-25,491.39,493.62,490.42,493.46,26035241
2025-03-26,492.3,493.16,482.82,484.38,35043357
2025-03-27,482.41,486.579,480.25,481.62,33469817
2025-03-28,479.81,480.52,468.05,468.94,46363797
